;Hi-Fi Компоненты, CD проигрыватели;,CD-проигрыватель DCDF109BKE2 ,Denon,DCDF109BKE2  ,100,Превосходное качество  CD-плеера DCDF109 от Denon,;Компактность и многофункциональность при единстве дизайна — несомненные преимущества мини-системы проигрыватель CD-Audio Denon DCD-F109. Интересен в первую очередь тем, что не имеет аналоговой части – на задней панели этого аппарата расположен единственный коаксиальный цифровой выход. Такое решение разработчиков выглядит совершенно оправданным с учетом того, что соответствующие входы сейчас имеют не только все AV-ресиверы, но и многие модели стереоусилителей. Например, стереоресивер Denon DRA-F109, который выполнен в том же дизайне, что и плеер DCD-F109, и образует вместе с ним законченную стереосистему. Для удобства управления такой системой с одного пульта ДУ предусмотрены вход и выход для передачи команд между ее компонентами. Помимо возможности воспроизведения дисков CD-Audio/CD-R/RW, в том числе и с файлами MP3/WMA, плеер имеет на передней панели разъем USB, к которому можно подключать портативные накопители с файлами тех же форматов, а также устройства Apple. Транспортный механизм, имеющий прецизионное считывающее оптическое устройство, расположен по центру шасси плеера, и обладает хорошей виброразвязкой. Благодаря тому, что инженеры компании «сэкономили» на отсутствующих аналоговых схемах, цифровой тракт в проигрывателе удалось сделать очень высокого качества, с минимальным уровнем джиттера и точной синхронизацией потока, поступающего на выход. Длина цепей передачи сигнала в проигрывателе минимальна, а благодаря оптимальному размещению всех схем взаимные наводки также сведены к минимуму. Для контроля за работой плеера предусмотрен контрастный двухстрочный дисплей, расположенный под дископриемником. Плеер быстро и практически бесшумно отрабатывает все команды управления воспроизведением, и обладает приятным и сбалансированным звуком.;,210,210
;Hi-Fi Компоненты, CD проигрыватели;,CD-проигрыватель DNPF109BKE1,Denon,DNPF109BKE1,100, Cетевой проигрыватель от компании Denon,;В модели Denon DNP-F109 модуль закачки последнего поколения (CX870), разработанный австрийскими экспертами компании StreamUnlimited. В качестве основы для цифрового интерфейса используется интегральная микросхема коммутатора PCM9211 от Burr Brown, которая направляет входящие цифровые аудиоданные для конвертации на ЦАП Asahi Kasei AK4424, далее чрез интегрированные выходные каскады они поступают непосредственно на  RCA-выход. Работу всего блока обеспечивает сетевой импульсный блок питания. ;,200,200
;Hi-Fi Компоненты, Стереоресиверы;,Стереоресивер DRAF109SPE2 ,Denon,DRAF109SPE2 ,100,,,286,286
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S301,Yamaha,A-S301,100,Превосходное качество звучания -это усилитель A-S301,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.;,437,437
;Hi-Fi Компоненты, CD проигрыватели;,CD-проигрыватель CD-S300,Yamaha,CD-S300,100,CD-проигрыватель CD-S300 - высокое качество звука,;Режим Pure Direct, исключительно продвинутая схемотеника также короткие пути прохождения сигнала. Высококачественные ЦАПы для высокоточного преобразования с малым уровнем шума и лазерный звукосниматель с плавающим механизмом. Интеллектуальный цифровой сервопривод;,415,415
;Hi-Fi Компоненты, Стереоресиверы;,Стереоресивер R-S300,Yamaha,R-S300,100,Стереоресивер R-S300 класса люкс,;Внешне и на ощупь напоминает флагманскую модель A-S2000: элегантная алюминиевая передняя панель и гладкие как шелк ручки громкости и селектора входов. Прикасаясь к ним, вы понимаете, что такое истинное качество, которое декларирует Yamaha. Музыкальный сигнал проходит по кратчайшему пути, минуя буферный усилитель и блок тембров, регуляторы тонкомпенсации и баланса, для сведения до минимума искажений и обеспечения наилучшего качества звука.;,378,378
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S501,Yamaha,A-S501,100,Превосходное качество звучания -это усилитель A-S501,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.;,439,439
;Hi-Fi Компоненты, Стереоресиверы;,Стереоресивер R-S700,Yamaha,R-S700,100,Стереоресивер R-S700 класса люкс,;Внешне и на ощупь напоминает флагманскую модель A-S2000: элегантная алюминиевая передняя панель и гладкие как шелк ручки громкости и селектора входов. Прикасаясь к ним, вы понимаете, что такое истинное качество, которое декларирует Yamaha. Музыкальный сигнал проходит по кратчайшему пути, минуя буферный усилитель и блок тембров, регуляторы тонкомпенсации и баланса, для сведения до минимума искажений и обеспечения наилучшего качества звука.;,443,443
;Hi-Fi Компоненты, CD проигрыватели;,CD-проигрыватель CD-S700,Yamaha,CD-S700,100,CD-проигрыватель CD-S700 - высокое качество звука,;Аппарат оснащен портом USB, позволяющим воспроизводить аудиофайлы форматов MP3 и WMA с запоминающих USB-устройств («флэшки»). Один из методов сжатия аудиосигнала, используемый в рамках стандарта MPEG. Представляет собой необратимый метод компрессии, при котором высокий уровень сжатия достигается за счет отбрасывания данных той части звукового спектра, которая плохо воспринимается ухом человека. Считается, что этот метод позволяет сжимать данные до одной одиннадцатой части (128 кбит/с) от исходного объема при сохранении качества близкого к качеству музыкального компакт-диска.;,496,496
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S701,Yamaha,A-S701,100,Превосходное качество звучания -это усилитель A-S701,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.;,981,981
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S1100,Yamaha,A-S1100,100,Превосходное качество звучания -это усилитель A-S1100,;В качестве базового решения схемы усилителя использована разработанная специалистами Yamaha уникальная технология симметричного усиления мощности с «плавающими» источниками питания. Применение выходных звеньев с той же полярностью на положительной и отрицательной сторонах выходного каскада в сочетании с полным разделением схемы ООС (отрицательной обратной связи) и источника питания в общей сложности на четыре положительных и отрицательных стороны левого и правого каналов обеспечивает полностью симметричный двухтактный режим работы выходного каскада, а полностью «плавающая» схема усиления мощности по отношению к заземлению устраняет любое негативное воздействие малых колебаний напряжения или помех на «земляной» шине. Кроме того, выходные звенья состоят из полевых МОП-транзисторов, обеспечивающих теплый и естественный характер звучания. Использование таких транзисторов, имеющих на положительной и отрицательной сторонах ту же полярность, делает полностью симметричную конструкцию еще более совершенной, исключая отклонения качества звучания из-за разной полярности. Это одна из главных отличительных черт симметричного усилителя мощности с «плавающими» источниками питания, обеспечивающая превосходное отношение сигнал/шум и звуковое поле с предельно точной локализацией составляющих.;,1714,1714
;Hi-Fi Компоненты, CD проигрыватели;,CD-проигрыватель CD-S1000,Yamaha,CD-S1000,100,CD-проигрыватель CD-S1000 - высокое качество звука,;Аудиоформат, основанный на существующих CD-стандартах, но включающий больший объем информации для более высокого качества звука. Существует три типа таких дисков: однослойные, двухслойные и гибридные. Последние можно проигрывать как на обычном CD-плеере, так и на проигрывателе дисков Super Audio CD, поскольку они содержат информацию стандартного аудио CD и Super Audio CD. Название Super Audio CD является торговым знаком.;,1221,1221
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель  A-S301,Yamaha,A-S301,100,Превосходное качество звучания,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального ;,437,437
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S501,Yamaha,A-S501,100,Впечатляющее качество звучания,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.;,570,570
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S701,Yamaha,A-S701,100,Предельно чистый звук ,;Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.

Схемное решение ToP-ART и опорное основание ART Base обеспечивают оптимальное звучание. Когда обработка и передача аудиосигнала просты и осуществляются напрямую, уменьшается вероятность отрицательного воздействия на сигнал шумов и искажений. Созданная фирмой Yamaha технология проектирования усилителей, получившая название ToP-ART, подразумевает симметричную конструкцию с прямой передачей сигналов от входа до выхода, где левый и правый каналы организованы по прямой симметричной схеме для максимально возможной чистоты сигнала. Кроме того, нижнее шасси ART (Anti-Resonance and Tough) Base и массивная центральная перемычка благодаря высокой жесткости обеспечивают надежную опору и гашение вибраций. Эти усовершенствования конструкции от Yamaha способствуют получению насыщенного и по-настоящему музыкального звучания.

;,980,980
;Hi-Fi Компоненты, Усилители мощности;,Интегральный усилитель A-S801BL,Yamaha,A-S801BL,100,Новейшие звуковые форматы высокого разрешения,;Для эффективного гашения вибраций, отрицательно сказывающихся на качестве звучания, шасси усилителя A-S801 имеет двойное днище со стальным листом толщиной 1 мм. Помимо того, силовой трансформатор и радиаторы в секции усилителя мощности опираются на чрезвычайно прочное и устойчивое основание ART (Anti-Resonance and Tough) Base. Массивная центральная перемычка еще больше увеличивает жесткость конструкции и виброгашение. Эти конструктивные усовершенствования способствуют увеличению отношения сигнал/шум и получению естественного и насыщенного звука.;,726,726
